Obsolète;Code terrain;Toponyme;Type;Date creation;Dernière modification;Date validation;Position;Latitude;Longitude;Altitude;Consignes;Nombre de pistes;Nature première piste;Axe préférentiel première piste;Largeur première piste;Longueur première piste;Orientation première piste;Nature deuxième piste;Axe préférentiel deuxième piste;Largeur deuxième piste;Longueur deuxième piste;Orientation deuxième piste;Radio;Carburant;Facilités;Facilités en clair;Email de contact;Téléphone;Informations complémentaires;Gestionnaire terrain
"";"LFNN";"Narbonne";"Aérodrome Restreint Ouvert aux ULM Autorisation OBLIGATOIRE ";"6/09/2011";"29/12/2019";"14/10/2025";"43.19338482173234,3.0516026269835983";"N 43 11 36";"E 003 03 06";"10 ft";"Aérodrome restreint. Consultez la carte VAC LFNN du SIA et NOTAM.


Radio obligatoire sur 119.505";"1";"herbe";"";"30";"710";"'10-28";"herbe";"";"";"";"'Inconnue";"119.505";"AVGAS 100LL";"6,4";"Restauration &agrave proximité, Gîte à proximité";"";"+33 4 68 32 10 13";"Ouvert aux pilotes ULM après reconnaissance avec instructeur qualifié (particularités du terrain)


Attention : activité vol à voile, parachutisme, aéromodélisme (voir NOTAM)";"ville de Narbonne";
"";"LFNO";"Florac Sainte Enimie";"Aérodrome Restreint Ouvert aux ULM Autorisation OBLIGATOIRE ";"0/00/0000";"17/02/2023";"14/10/2025";"44.285556,3.465556";"N 44 17 08";"E 003 27 56";"3055 ft";"";"2";"herbe";"";"100";"762";"'09-27";"herbe";"";"100";"750";"'14-32";"120.430 ";"";"0";"invalid";"";"+33 4 66 45 15 46";"AD réservé aux ACFT basés et à ceux basés sur les AD voisins. Autres, PPR par tél 24h avant.


AD réservé aux ACFT munis de radio.


Fréquence radio en 8,33";"Communauté pays du haut Tarn";
"oui";"LFNP";"Pézenas Nizas";"Aérodrome fermé.";"0/00/0000";"26/06/2015";"14/10/2025";"43.504722,3.411944";"N 43 30 17";"E 003 24 43";"322 ft";"";"1";"herbe";"";"60";"705";"'11-29";"herbe";"";"";"";"'Inconnue";" ";"";"";"";"";"";"Aérodrome fermé (Arrêté du 17 avril 2014, JO du 26 avril 2014).";"";
"";"LFNQ";"La Llagonne La Quillane";"Aérodrome Restreint Ouvert aux ULM Autorisation OBLIGATOIRE ";"0/00/0000";"24/12/2015";"14/10/2025";"42.5438912203176,2.119442100524907";"N 42 32 38";"E 002 07 10";"5612 ft";"Tour de piste ouest





6600 / 1000";"1";"herbe";"'32";"60";"1026";"'14-32";"herbe";"";"";"";"'Inconnue";"119.910";"AD50_AvGas_NP";"0";"invalid";"lallagonne@gmail.com";"+33 4 68 04 66 04";"Grosse activité planeur décollage au treuil.


Terrain souvent mouillé en hiver, donc réservé basés. La partie est se mouille moins que la partie ouest (pente).


Un atterrissage en 14 ne doit être envisagé que par fort vent de sud.";"ACB";
"";"LFNR";"Berre La Fare";"Aérodrome Restreint Ouvert aux ULM Autorisation OBLIGATOIRE ";"0/00/0000";"31/03/2016";"14/10/2025";"43.536667,5.177500000000009";"N 43 32 12";"E 005 10 39";"108 ft";"";"2";"herbe";"'34";"60";"940";"'16-34";"herbe";"";"60";"1090";"'08-26";"118.325";"";"0";"invalid";"stephane.garneret@dga.defense.gouv.fr";"+33 4 90 45 40 36";"AD réservé aux ACFT basés.


Utilisable par les hélicoptères dans des conditions définies par AVA.


Utilisable par ULM. Seuls des ULM classes 3 et 6 équipés de radio et de transpondeur sont autorisés.


Conditions d'accès et PPR : voir VAC





Aéroclub Louis Bonte 


06 71 49 15 99





Escadrille PEGASE


Ecole ULM 


06 10 13 08 22 ou 06 04 42 91 26


escadrille.pegase@gmail.com";"Association des usagers de berre La Fare";
"";"LFNS";"Sisteron Vaumeilh";"Aérodrome Restreint Autorisation OBLIGATOIRE ";"0/00/0000";"30/03/2022";"14/10/2025";"44.286667,5.929167000000007";"N 44 17 12";"E 005 55 45";"1772 ft";"700 m x 10 m revêtue.


TDP à l'est pour les planeurs, à l'ouest pour les avions et les ULM.


Radio obligatoire en FR. Annoncer le type de trafic.";"1";"herbe";"'36";"100";"1160";"'17-35";"herbe";"";"";"";"'Inconnue";"120.050";"AD50_AvGas_NP";"6,4";"Restauration &agrave proximité, Gîte à proximité";"aeroclubsisteron@gmail.com";"+33 4 92 62 17 45";"Aérodrome réservé aux ACFT basés, au vol à voile et aux avions de servitude. 





Radio obligatoire.


Utilisable sans restriction par les planeurs et les planeurs à dispositif d’envol incorporé. 





Utilisable par les hélicoptères dans les conditions définies par la DSAC-SE.





Consignes particulières


http://www.aeroclubsisteron.fr/images/pdf/consignes_lfns_txt_f_ed2.pdf





Aéroclub de Sisteron


Tél : 04 92 62 17 45


";"Syndicat mixte d’aménagement et de gestion de l’aérodrome de SISTERON-Vaumeilh";
"";"LFNT";"Avignon Pujaut";"Aérodrome Restreint Ouvert aux ULM Autorisation OBLIGATOIRE ";"0/00/0000";"31/12/2017";"14/10/2025";"43.99345588508525,4.7551306455078475";"N 43 59 36";"E 004 45 18";"146 ft";"";"2";"herbe";"";"100";"1350";"'17-35";"herbe";"";"100";"1165";"'12-30";"123.355";"";"0";"invalid";"";"+33 4 90 26 40 20";"AD réservé au vol à voile, au parachutisme et aux avions de servitude.";"Mairie de Pujaut et Centre Régional de Parachutisme";
"";"LFNU";"Uzès";"Aérodrome Restreint Autorisation OBLIGATOIRE ";"0/00/0000";"25/12/2015";"14/10/2025";"44.083333,4.393888999999945";"N 44 04 60";"E 004 23 38";"884 ft";"";"1";"herbe";"";"60";"1060";"'18-36";"herbe";"";"";"";"'Inconnue";" 123.500";"";"";"";"";"+33466596562";"AD réservé aux ACFT basés et à ceux basés sur les AD voisins.


AD réservé aux ACFT munis de radio.";"ACB d’Uzès";
"";"LFNV";"Valréas Visan";"Aérodrome C.A.P. Libre d'accès aux ULM  ";"0/00/0000";"5/05/2025";"14/10/2025";"44.33696872061396,4.908188544982965";"N 44 20 13";"E 004 54 29";"472 ft";"Tour de piste 1500 AMSL / 1000 AAL";"1";"herbe";"";"50";"1020";"'02-20";"herbe";"";"";"";"'Inconnue";"120.060";"AD50_AvGas_NP";"0";"invalid";"contact@achc.fr";"+33 4 90 41 91 71";"Contact radio obligatoire.";"ACB du Haut Comtat";
"";"LFNW";"Puivert";"Aérodrome Restreint Ouvert aux ULM Autorisation OBLIGATOIRE ";"23/11/2011";"25/12/2015";"14/10/2025";"42.910277777778,2.0547222222221535";"N 42 54 37";"E 002 03 17";"1610 ft";"";"1";"herbe";"'32";"100";"720";"'14-32";"herbe";"";"";"";"'Inconnue";"122.5";"";"";"";"";"+33 4 68 69 21 94";"";"Communauté de communes du Chalabrais";
"";"LFNX";"Bédarieux";"Aérodrome Restreint Ouvert aux ULM Autorisation OBLIGATOIRE ";"0/00/0000";"27/12/2018";"24/11/2025";"43.639287,3.144808";"N 43 38 21";"E 003 08 41";"1247 ft";"Tour de piste à l' EST du terrain - ULM à 500 pieds/sol - avion à 1000 pieds/sol


Activités avions, ULM et aéromodélisme (activité 9536 - plafond 500 ft) possibles.





ATTENTION :  par vent fort : turbulences en entrée de piste en 17 et en 35";"1";"herbe";"'35";"60";"975";"'17-35";"";"";"";"";"";"123.500";"";"2";"Hangar possible";"aeroclubbedarieuxgrandorb@gmail.com";"+33 4 67 95 08 33";"AD réservé aux ACFT munis de radio.


AD réservé aux ACFT basés et à ceux basés sur les AD voisins (voir carte VAC). 


Pour les usagers extérieurs, sur autorisation préalable de l'exploitant AD.";"Aérodrome de Bédarieux la Tour";
"";"LFNZ";"Le Mazet de Romanin";"Aérodrome Restreint Ouvert aux ULM Autorisation OBLIGATOIRE ";"27/10/2011";"5/01/2018";"14/10/2025";"43.77170070546,4.894100677246115";"N 43 46 18";"E 004 53 39";"395 ft";"Arrivée : contact radio recommandé afin d’être avisé d’une activité de treuillage, dans ce cas éviter la verticale.


Axe préférentiel N/S non balisé.";"1";"herbe";"";"50";"1000";"'18-36";"herbe";"";"";"";"'Inconnue";"118.450";"";"0";"invalid";"contact@aeroclub-alpilles.fr";"+33 4 90 92 08 43";"AD réservé au vol à voile et aux avions de servitude.





Aménagement d’une bande revêtue (100 x 10 m) incluse dans la piste en herbe au sud de l’axe.";"ACB St Rémy les Alpilles";
"";"LFOA";"Avord";"Aérodrome Réservé Administrations Interdit CAP";"0/00/0000";"24/02/2016";"14/10/2025";"47.056944,2.638889";"N 47 03 25";"E 002 38 20";"580 ft";"";"1";"dur";"";"45";"3505";"'06-24";"herbe";"";"";"";"'Inconnue";"119.7";"";"";"";"";"";"AD fermé à la CAP et aux ACFT sans radio


Conditions de survol : L’AD est situé à l’intérieur de la P 40. Voir AIP France";"Ministère de la Défense (FAF)";
"";"LFOB";"Beauvais Tille";"Aérodrome C.A.P. Ouvert aux ULM Autorisation OBLIGATOIRE ";"0/00/0000";"21/12/2015";"14/10/2025";"49.454444,2.112778";"N 49 27 16";"E 002 06 46";"359 ft";"";"2";"dur";"";"45";"2430";"'12-30";"dur";"";"25";"708";"'04-22";"121.4";"AD49_AvGas";"";"";"";"+33 3 44 11 46 62";"Aucun ACFT ne peut atterir ou décoller entre 2200 et 0300 (HIV+1)


Pour les aéronefs non basés, PPR PN 48 HR auprès de l'exploitant ";"SAGEB";
"";"LFOC";"Châteaudun";"Aérodrome C.A.P. Avec Restrictions Autorisation OBLIGATOIRE ";"0/00/0000";"21/10/2016";"14/10/2025";"48.057663264692,1.3784140317383162";"N 48 03 28";"E 001 22 42";"433 ft";"TDP sud 1000 ft AGL";"1";"dur";"";"45";"2300";"'10-28";"herbe";"";"";"";"'Inconnue";"125.625";"";"4";"Gîte à proximité";"";"+33 2 37 45 43 43";"AD ouvert à la CAP réservé aux ACFT munis de radio.


PPR obligatoire.


AD interdit SAM, DIM, JF et hors HOR ATS.





Aéroclub de Chateaudun Jean Fournier


BP 70092 28202 CHATEAUDUN CEDEX


GARCIA Antoine instructeur ULM et chef Pilote aéroclub


Tél : 06 87 41 80 65 


Dom. : 02 37 47 59 81";"Ministère de la Défense (FAF)";
"";"LFOD";"Saumur St Florent";"Aérodrome C.A.P. Ouvert aux ULM Autorisation OBLIGATOIRE ";"0/00/0000";"9/02/2025";"14/10/2025";"N 47 15 24,W 000 06 49";"N 47 15 24";"W 000 06 49";"269 ft";"AD réservé aux ACFT munis de radio A/A - Fr. only


Tour de piste au SUD de l'AD";"1";"dur";"";"30";"1450";"'10-28";"herbe";"";"";"";"'Inconnue";"120.605";"AVGAS 100 LL";"6";"Restauration &agrave proximité";"aerodrome@saumur.fr";"+33 2 41 50 20 27";"Forte activité parachutisme


SAUMUR AIR CLUB 02 41 50 20 27


ULM Saumur Air Moustique 06 12 95 43 64


Le Parachutisme Tél : 02 41 50 45 27


l'Aéromodélisme Tél : 02 41 67 59 69 - 06 68 44 48 02


l'ULM Tél : 06 35 02 15 53";"Mairie de Saumur";
"";"LFOE";"Évreux Fauville";"Aérodrome Réservé Administrations Interdit CAP";"0/00/0000";"24/02/2016";"14/10/2025";"49.028611,1.2200000000000273";"N 49 01 43";"E 001 13 12";"464 ft";"";"1";"dur";"";"45";"2998";"'04-22";"herbe";"";"";"";"'Inconnue";"118.125";"";"";"";"";"+33 2 32 62 12 18";"Réservé aux ACFT munis de radio. Interdits aux GLD


Survol de l’AD interdit H 24 au-dessous de 300 m (1000 ft) ASFC";"Ministère de la Défense (FAF)";
"";"LFOF";"Alençon Valframbert";"Aérodrome C.A.P. Libre d'accès aux ULM  ";"14/06/2011";"24/12/2015";"14/10/2025";"48.446667,0.108333000000016";"N 48 26 48";"E 000 06 30";"476 ft";"piste herbe réservé planeurs et avions de servitude";"2";"dur";"'07";"18";"780";"'07-25";"herbe";"'07";"80";"730";"'07-25";"118.330";"AD50_AvGas_NP";"3,6,2,4";"Restauration sur place, Restauration &agrave proximité, Hangar possible, Gîte à proximité";"contact@aeroclub-alencon.org";"+33 2 33 29 25 86";"Centre commercial & essence avec Carte Bleue, juste après avoir traversé la route.


Avitaillement en 100LL


Hébergement avion de passage dans le hangar (suivant possibilités)


Station Météo France";"ACB Alençon";
"";"LFOG";"Flers Saint Paul";"Aérodrome C.A.P. Libre d'accès aux ULM  ";"0/00/0000";"16/04/2025";"14/10/2025";"48.749722,-0.594722000000047";"N 48 44 59";"W 000 35 41";"663 ft";"";"1";"dur";"";"25";"721";"'06-24";"herbe";"";"";"";"'Inconnue";" 123.5";"AD50_AvGas_NP";"6,2";"Restauration &agrave proximité, Hangar possible";"";"+33 2 33 64 68 00";"Club ulm:


Flers ULM


flers.ulm@gmail.com


https://www.facebook.com/groups/294381157927127/";"CCI de Flers";
"";"LFOH";"Le Havre Octeville";"Aérodrome C.A.P. Libre d'accès aux ULM  ";"0/00/0000";"5/01/2018";"14/10/2025";"N 49 32 02,E 000 05 17";"N 49 32 02";"E 000 05 17";"313 ft";"";"1";"dur";"'22";"40";"2300";"'04-22";"herbe";"";"";"";"'Inconnue";"135.2";"AD49_AvGas";"0";"invalid";"passage-ops-handling@havre.cci.fr";"+33 2 35 54 65 00";"AD réservé aux ACFT munis de radio.";"CCI";
"";"LFOI";"Abbeville";"Aérodrome C.A.P. Libre d'accès aux ULM  ";"0/00/0000";"8/02/2024";"14/10/2025";"50.14222222222222,1.8311111111111131";"N 50 08 32";"E 001 49 52";"220 ft";"Ouest pour la 02-20 : Piste actuellement fermée


Sud pour la 13-31";"2";"dur";"";"23";"1250";"'13-31";"herbe";"";"80";"570";"'02-20";"120,060";"AVGAS 100LL";"3,6,4,1";"Restauration sur place, Restauration &agrave proximité, Gîte à proximité, Atelier ULM";"ae2ab@orange.fr";"+33 9 75 41 00 91";"AD réservé aux ACFT munis de radio.


taxes ULM 4,80 € au 21/10/2018";"Association d'Exploitation de l'Aérodrome d'Abbeville-Buigny";
"";"LFOJ";"Orléans Bricy";"Aérodrome Réservé Administrations Interdit CAP";"0/00/0000";"30/01/2016";"14/10/2025";"47.987778,1.760556";"N 47 59 16";"E 001 45 38";"412 ft";"";"1";"dur";"";"45";"2404";"'07-25";"herbe";"";"";"";"'Inconnue";"122.7";"";"";"";"";"+33 2 38 42 66 55";"AD interdit aux ACFT non munis de radio et aux planeurs.";"Ministère de la Défense (FAF)";
"";"LFOK";"Châlons Vatry";"Aérodrome C.A.P. Interdit aux ULM ";"0/00/0000";"5/01/2018";"14/10/2025";"48.77333333333333,4.206111111111113";"N 48 46 24";"E 004 12 22";"586 ft";"";"1";"dur";"";"45";"3860";"'10-28";"herbe";"";"";"";"'Inconnue";"129.4";"";"0";"invalid";"casa@parisvatry.com";"+33 3 26 64 82 00";"AD interdit aux planeurs, ULM et aérostats.


AD réservé aux ACFT munis de radio.";"Société d’Exploitation Vatry Europort (SEVE)";
"";"LFOL";"L'Aigle Saint Michel";"Aérodrome C.A.P. Libre d'accès aux ULM  ";"13/08/2011";"6/09/2016";"14/10/2025";"48.75817162664437,0.6551125237426731";"N 48 45 29";"E 000 39 18";"787 ft";"";"1";"dur";"";"20";"763";"'07-25";"herbe";"";"";"";"'Inconnue";"126.850";"AD50_AvGas_NP";"6";"Restauration &agrave proximité";"";"+33 2 33 84 16 16";"Radio obligatoire.





Club ULM : www.ulm-aiglon.fr";"Ville de l'Aigle";
"";"LFOM";"Lessay";"Aérodrome C.A.P. Libre d'accès aux ULM  ";"0/00/0000";"11/02/2018";"14/10/2025";"49.203056,-1.506666999999993";"N 49 12 11";"W 001 30 24";"92 ft";"Tour de piste  1000 AAL / 1000 AMSL


Éviter la verticale : Activité parachutisme (n° 505).


Activité AEM 8921 (plafond 500ft)";"1";"herbe";"'24";"80";"1250";"'06-24";"herbe";"";"";"";"'Inconnue";"128.930";"AD50_AvGas_NP";"0";"invalid";"aeroclub.lessay@free.fr";"+33 2 33 46 44 22";"AD réservé aux ACFT munis de radio.


UCL (ULM Club de Lessay)


Président : 06 08 46 58 27


http://www.ulm-club-lessay.fr/";"Conseil général de la Manche";
"";"LFON";"Dreux Vernouillet";"Aérodrome C.A.P. Libre d'accès aux ULM  ";"0/00/0000";"8/02/2018";"14/10/2025";"48.70583333333333,1.3613888888888823";"N 48 42 21";"E 001 21 41";"443 ft";"04 - main droite


22 - main gauche";"1";"herbe";"'04";"80";"720";"'04-22";"herbe";"";"";"";"'Inconnue";"118.2";"AD50_AvGas_NP";"0";"invalid";"";"+33 2 37 64 82 58";"AD réservé aux ACFT munis de radio





ULM  EVAD AIR: ULM PARIS- OUEST 06 71 25 38 95 


EVADAIR@GMAIL.COM


.WWW.EVADAIR.FR";"Ville de Dreux";
"";"LFOO";"Les Sables d'Olonne Talmont";"Aérodrome C.A.P. Libre d'accès aux ULM  ";"0/00/0000";"20/08/2017";"14/10/2025";"46.47573332522167,-1.7255793571472466";"N 46 28 33";"W 001 43 32";"104 ft";"";"1";"herbe";"";"20";"700";"'06-24";"herbe";"";"";"";"'Inconnue";" 123.350";"AD49_AvGas";"6,4";"Restauration &agrave proximité, Gîte à proximité";"";"+33 2 51 22 07 30";"Existence d'une Charte de respect de l'environnement AD, à consulter sur


https://aeroclubdevendee.pagesperso-orange.fr/Accueil.html


AD réservé aux ACFT munis de radio.";"Ville des Sables d’Olonne";
"";"LFOP";"Rouen - Vallée de Seine";"Aérodrome C.A.P. Ouvert aux ULM Autorisation OBLIGATOIRE ";"21/11/2013";"24/12/2015";"14/10/2025";"49.386196168039596,1.1771940951877014";"N 49 23 10";"E 001 10 38";"512 ft";"";"2";"dur";"'22";"45";"1700";"'04-22";"herbe";"";"80";"900";"'05-23";"120.2";"";"0";"invalid";"";"+33 2 35 80 53 19";"AD réservé aux ACFT munis de radio.


Utilisation sur PPR ROUEN TWR, demande à formuler par téléphone au 02 35 80 53 19.";"Société d'Exploitation Aéroport de Rouen";
"";"LFOQ";"Blois le Breuil";"Aérodrome C.A.P. Libre d'accès aux ULM  ";"3/10/2011";"24/12/2015";"3/02/2026";"47.679722,1.205833";"N 47 40 47";"E 001 12 21";"398 ft";"ULM de toutes classes (sauf paramoteurs) autorisés sur les pistes avions.


Éviter le survol des villes de Villefrancoeur, Le Breuil et La Chapelle Vendômoise.


Verticale terrain interdite pendant activité voltige ou parachutisme.


Aérodrome multi activités et pistes sécantes. Une attention supplémentaire est demandée lors de l'utilisation simultanée des pistes 02/20 et 12/30";"2";"dur";"'30";"30";"1250";"'12-30";"herbe";"";"70";"920";"'02-20";"118.455";"100LL - JET A1";"6";"Restauration &agrave proximité";"aerodrome.blois-lebreuil@bloislebreuil.fr";"+33 2 54 20 17 18";"AD réservé aux ACFT munis de radio.


Activité paramoteur sur autorisation du gestionnaire (max 700' AAL).


Horaires AFIS et RFFS : Consultez la VAC.


Carburants : règlement Jet A-1 et 100ll par CB ou carte aérodrome


Taxe d'atterrissage : Se référer à la section 'Tarifs'  de l'onglet aérodrome du site";"SEMOP";
"";"LFOR";"Chartres Métropole";"Aérodrome C.A.P. Libre d'accès aux ULM  ";"31/10/2011";"29/12/2017";"14/10/2025";"48.45791753394971,1.5187469890231498";"N 48 27 29";"E 001 31 07";"509 ft";"";"2";"dur";"'10";"25";"840";"'10-28";"herbe";"";"100";"900";"'10-28";"119.2";"AD49_AvGas";"0";"invalid";"aeroclub28@wanadoo.fr";"+33 2 37 91 35 20";"AD réservé aux ACFT munis de radio.





attention ! treuil planeurs, passage verticale terrain à 2600 pieds





durée entre treuillage environs 3 mn";"Aéroclub d'Eure et Loir";
"";"LFOS";"Saint Valéry - Vittefleur";"Aérodrome C.A.P. Libre d'accès aux ULM  ";"0/00/0000";"20/08/2017";"14/10/2025";"49.835278,0.6555559999999332";"N 49 50 07";"E 000 39 20";"269 ft";"Tour de piste au Sud uniquement ";"1";"herbe";"";"50";"900";"'07-25";"herbe";"";"0";"0";"'Inconnue";" 123.5";"AD50_AvGas_NP";"0";"invalid";"aeroclubcauchois@gmail.com";"+33 2 35 97 10 33";"Aéroclub Téléphone bureau 


09 53 86 08 56 rép.





Particularité 


Route séparative entre piste et parking


arrêtez vous au stop avant de traversé... passage de véhicules";"Communauté de communes de la Côte d’Albâtre";
"";"LFOT";"Tours Val de Loire";"Aérodrome C.A.P. Libre d'accès aux ULM  ";"0/00/0000";"12/02/2016";"14/10/2025";"47.42996987207698,0.726660888916058";"N 47 25 48";"E 000 43 36";"357 ft";"";"1";"dur";"";"45";"2404";"'02-20";"herbe";"";"";"";"'Inconnue";"124.400";"AD50_AvGas_NP";"0";"invalid";"tours.information@edeis.com";"+33 2 47 49 37 03";"AD réservé aux ACFT munis de radio.


AD interdit aux planeurs et aux ULM sauf multiaxes.";"EDEIS";
"";"LFOU";"Cholet Le Pontreau";"Aérodrome C.A.P. Libre d'accès aux ULM  ";"0/00/0000";"5/01/2018";"14/10/2025";"47.081944444444446,-0.8772222222222581";"N 47 04 55";"W 000 52 38";"443 ft";"";"2";"dur";"'21";"30";"1380";"'03-21";"herbe";"";"80";"1030";"'03-21";"120.4";"AD50_AvGas_NP";"0";"invalid";"fboisard@ville-cholet.fr";"+33 2 41 62 12 22";"AD réservé aux ACFT munis de radio.";"Ville de Cholet";
"";"LFOV";"Laval Entrammes";"Aérodrome C.A.P. Ouvert aux ULM Autorisation OBLIGATOIRE ";"29/10/2011";"7/08/2015";"14/10/2025";"48.032222,-0.742778";"N 48 01 56";"W 000 44 34";"330 ft";"Tour de piste ULM à l'Est 500ft";"2";"dur";"'32";"30";"1530";"'14-32";"herbe";"'32";"80";"1250";"'14-32";"119.3";"AD49_AvGas";"6";"Restauration &agrave proximité";"aeroportlaval@wanadoo.fr";"+33 2 43 53 71 30";"Radio obligatoire 119.3


ULM : accés autorisé uniquement sur accord écrit O/R exploitant par FAX : 02 43 53 93 62, PPR PN 24 HR ou le dernier jour ouvrable pendant HOR ATS.";"Syndicat mixte de la Mayenne";
"";"LFOW";"St Quentin - Roupy";"Aérodrome C.A.P. Libre d'accès aux ULM  ";"7/07/2011";"21/12/2015";"14/10/2025";"49.816944444444,3.206666666666706";"N 49 49 01";"E 003 12 24";"325 ft";"QFU 22 préferentiel cause environnement.


TDP: au NW ou au NE en fonction du QFU.


avions 1000ft QNH, 


ULM 700ft QNH.";"2";"herbe";"'22";"100";"670";"'04-22";"herbe";"";"100";"620";"'14-32";"123.5";"AD49_AvGas";"3";"Restauration sur place";"";"+33 3 23 62 00 00";"Restrictions possibles après fortes pluies ou neige.


Eviter le survol des communes avoisinantes (Roupy, Savy, Fontaine les clercs)";"Mairie de Fontaine Lès Clercs";
"";"LFOX";"Étampes - Mondésir";"Aérodrome C.A.P. Libre d'accès aux ULM  ";"0/00/0000";"31/12/2017";"14/10/2025";"48.38074045704669,2.0763351746215903";"N 48 22 51";"E 002 04 35";"494 ft";"";"2";"dur";"'06";"22";"700";"'06-24";"herbe";"'06";"50";"1230";"'06-24";"119.050";"AD49_AvGas";"0";"invalid";"";"+33 1 60 80 95 63";"AD réservé aux ACFT munis de radio.


Activité ULM de classe 3, 4 et 6 autorisée selon les dispositions de l’arrêté du 12 juillet 2019.";"ADP";
"";"LFOY";"Le Havre St Romain";"Aérodrome C.A.P. Libre d'accès aux ULM  ";"0/00/0000";"23/04/2017";"14/10/2025";"N 49 32 38,E 000 21 35";"N 49 32 38";"E 000 21 35";"423 ft";"";"2";"herbe";"";"100";"890";"'01-19";"herbe";"";"100";"840";"'05-23";" ";"AD50_AvGas_NP";"";"";"";"+33 2 35 20 82 61";"";"Aéroclub de l’estuaire de la Seine";
"";"LFOZ";"Orléans - St Denis de l'hotel";"Aérodrome C.A.P. Libre d'accès aux ULM  ";"14/09/2011";"5/09/2019";"14/10/2025";"47.8975,2.164166666666688";"N 47 53 51";"E 002 09 51";"396 ft";"Dur : au nord


Herbe : au sud (+/- réservée vol à voile)


Possiblité de table de treuil sur cette piste (cf NOTAM)";"2";"dur";"'23";"30";"1600";"'05-23";"herbe";"'23";"70";"1252";"'05-23";"122.4";"AD50_AvGas_NP";"6,5";"Restauration &agrave proximité, Camping possible";"aerodrome.sdh@wanadoo.fr";"+33 2 38 46 33 33";"AD réservé aux ACFT munis de radio, interdit aux ULM de classe paramoteur.


Activité vol à voile avec TREUIL (avril-octobre cf NOTAM)


Piste en herbe difficilement praticable en hiver (pluie)";"SMAEADOL";
"";"LFPA";"Persan - Beaumont";"Aérodrome C.A.P. Libre d'accès aux ULM  ";"8/08/2011";"24/12/2015";"14/10/2025";"49.1672824856901,2.3213768005371094";"N 49 10 02";"E 002 19 17";"149 ft";"";"2";"dur";"'10";"20";"830";"'10-28";"herbe";"'10";"90";"880";"'10-28";"119.5";"AD50_AvGas_NP";"";"";"";"+33 1 30 34 56 60";"AD réservé aux ACFT munis de radio.


";"ADP";
"";"LFPB";"Paris Le Bourget";"Aérodrome C.A.P. Ouvert aux ULM Autorisation OBLIGATOIRE ";"0/00/0000";"5/01/2018";"15/10/2025";"48.969444,2.441389";"N 48 58 10";"E 002 26 29";"220 ft";"Voir fiche VAC.";"2";"dur";"";"45";"2991";"'07-25";"dur";"";"60";"2665";"'03-21";"118.925";"AD49_AvGas";"0";"invalid";"";"+33 1 48 62 16 33";"Vols VFR au départ et à destination de PARIS LE BOURGET : la transmission d’une intention de vol, ou le dépôt d’un plan de vol, le cas échéant, est obligatoire.";"ADP";
"oui";"LFPC";"Creil";"Aérodrome fermé.";"0/00/0000";"5/01/2018";"14/10/2025";"49.253611,2.5191670000000386";"N 49 15 13";"E 002 31 09";"291 ft";"";"1";"dur";"";"50";"2399";"'07-25";"herbe";"";"";"";"'Inconnue";"";"";"0";"invalid";"";"";"AD fermé au 1er septembre 2016. Toutefois, le site est situé à l'intérieur de la LF-R257, active H24, donc reste interdit de survol.





Aérodrome réparti sur les communes de Creil, Verneuil-en-Halatte et Apremont.";"Ministère de la Défense (FAF)";
"";"LFPD";"Bernay Saint Martin";"Aérodrome C.A.P. Libre d'accès aux ULM  ";"2/08/2011";"16/02/2020";"14/10/2025";"49.10233141764154,0.5674442751464994";"N 49 06 08";"E 000 34 03";"555 ft";"Tour de piste par le nord à 1000 pieds QFE.";"1";"herbe";"";"80";"1200";"'10-28";"herbe";"";"";"";"'Inconnue";"119.225";"100LL";"2";"Hangar possible";"michel.loste@sfr.fr";"+33 2 32 43 15 62";"AD réservé aux ACFT munis de radio.


Club ULM : Bernay Cumulus Club


président : Michel LOSTE";"Club aéronautique de l’arrondissement de BERNAY";
"";"LFPE";"Meaux - Esbly";"Aérodrome C.A.P. Ouvert aux ULM Autorisation OBLIGATOIRE ";"0/00/0000";"24/12/2015";"14/10/2025";"48.92739513834381,2.835090629638671";"N 48 55 39";"E 002 50 06";"220 ft";"Tours de piste


900 AMSL  /  700 AAL";"2";"herbe";"'34";"100";"1020";"'16-34";"herbe";"";"100";"1145";"'07-25";"120.15";"UL 91";"";"";"patrick.vincent@dgac.fr";"+33 1 60 05 58 09";"AD réservé aux ACFT munis de radio.


ULM lents ou performants : activités réservées aux ACFT autorisés par le chef CA.


2 pistes 16-34 L et R


2 pistes 07-25 L et R";"Aéroports de Paris ";
"";"LFPF";"Beynes - Thiverval";"Aérodrome Restreint Autorisation OBLIGATOIRE ";"0/00/0000";"24/12/2015";"14/10/2025";"48.843187459836,1.9059278412476033";"N 48 50 35";"E 001 54 21";"371 ft";"Activité planeur lancé au treuil et remorqueur";"1";"herbe";"";"80";"1000";"'12-30";"herbe";"";"";"";"'Inconnue";"120.425";"AD50_AvGas_NP";"3";"Restauration sur place";"cab.beynes@cab.asso.fr";"+33 1 34 89 10 05";"AD réservé au vol à voile et aux ACFT de servitude.





Passage à proximité, ne pas hésiter à prendre contact radio de vos intentions, les planeurs seront rassurés (nombreux en haute saison)";"ACB";
